"老人と海","本橋成一著","本"
"薫染","川勝 義三/編集","本"
"P.S.元気です、俊平","柴門 ふみ/著","本"
"映画芸術","編集プロダクション映芸,大和書房,映画芸術社,第一出版株式会社,星林社 (京都市)","デジタル資料"
"計算幾何学","浅野哲夫著","本"
"アイヌ文化","アイヌ無形文化伝承保存会,アイヌ無形文化伝承保存会 編","デジタル資料"
"中小企業","全国中小企業団体連合会","デジタル資料"
"鴎外","森鴎外記念会 [編]","デジタル資料"
"本の窓","小学館 [編]","デジタル資料"
"パーム","伸 たまき/著","本"
"チャイム","水沢 めぐみ/著","児童書"
"Nonggigu","Bag Daesun／著,Gim Jongseob／写真","本"
"史","現代史懇話会","デジタル資料"
"ディスタンクシオン","ピエール・ブルデュー [著]","本"
"ロンリィ・ハート","三原 千恵利/著","児童書"
"国立文楽劇場","国立文楽劇場事業課/編","本"
"ピアノの森","田丸 信明/編","本"
"JAMSTEC","海洋科学技術センター,海洋科学技術センター情報管理室 編","デジタル資料"
"サービス貿易","佐々波楊子, 浦田秀次郎著","本"
"子供たちは夜の住人","高河 ゆん/著","本"
"よろこび","市田株式会社/編輯","本"
"鍍金の世界","日本鍍金材料協同組合,東京鍍金材料協同組合","デジタル資料"
"薬理学","笹征史,大隅義継著","本"
"会報","大学基準協会,大学基準協会 [編]","デジタル資料"
"孔雀王","荻野 真/著","本"
"百万塔","紙の博物館 [編]","デジタル資料"
"対中投資","今井理之著","本"
"エレクトロニクスライフ","日本放送出版協会","デジタル資料"
"動力","日本動力協会,日本動力協会 編","デジタル資料"
"罪と罰","日本刑事政策研究会","デジタル資料"
"なかよし","赤星 たみこ/著","本"
"地域社会","地域社会研究会,地域社会研究会 編","デジタル資料"
"まあじゃんほうろうき","西原 理恵子/著","本"
"因子分析","柳井晴夫 [ほか] 著","本"
"クルドの星","安彦 良和/著","本"
"マルクス経済学","松石勝彦著","本"
"禁区","東城 和実/著","児童書"
"湖北省","《湖北省》编辑部编","本"
"途上","思想とキリスト教研究会 編","デジタル資料"
"たけし","中西恵子さく","児童書"
"要覧","静岡県水産試験場 [編]","本"
"フェロアロイ","日本フェロアロイ協会,技術委員会 編","デジタル資料"
"著作権法","尾中普子[ほか]共著","本"
"マーケティング・チャネル","陶山計介,高橋秀雄編著","本"
"租税","大蔵省財政史室編","本"
"日本の伝統芸能","本田安次著","本"
"ブルー・リボリューション","ルーク・カイバース著","本"
"群居","群居刊行委員会","デジタル資料"
"人口統計学","岡崎陽一著","本"
"上級生","宮川 匡代/著","児童書"
"カオス","合原一幸編著","本"
"仏教","法蔵館,法蔵館 [編]","デジタル資料"
"クッキングパパ","うえやま とち/著","本"
"ふふふの闇","山田 ミネコ/著","児童書"
"Jack in the box","おおの 藻梨以/著","児童書"
"1ポンドの福音","高橋 留美子/著","児童書"
"天理教学研究","天理大学宗教学科研究室 編","デジタル資料"
"法の支配","日本法律家協会","デジタル資料"
"会誌","境町の文化財を守る会／編","本"
"天外魔境","あだちひろし&レッド・カンパニー [著]","児童書"
"タフ","中原　裕／著","児童書"
"ヤマトタケル","高橋宏幸 文,村井香葉 絵","児童書"
"石泉","清水　早春／著","本"
"八剣伝","大野木 寛/著","児童書"
"川喜田半泥子","川喜田　半泥子／［作］,大阪市立東洋陶磁美術館／［ほか］編集","本"
"比較法","東洋大学比較法研究所","デジタル資料"
"商法","稲田　俊信 ［ほか著］","本"
"かえる","渡辺利之／著","本"
"トロイの木馬","バリー・G.ジェームズ著","本"
"おともだち","いせひでこ 作","児童書"
"Music","AlanBlackwood","本"
"九州西側筑前肥後三要地方言","藤原与一","本"
"知章","廿四世観世左近 訂正著","本"
"Rock","岡崎 京子/著","本"
"野村克也","渡辺さとる 作画,永島直樹 原作","児童書"
"Turner","JeanSelz","本"
"Seminarium","大阪市立大学ドイツ文学会 編","デジタル資料"
"ボロロ","白土三平 著","本"
"プロピレア","日本ギリシア語ギリシア文学会,ギリシア語文学研究会","デジタル資料"
"ダーリン","小沢　真理／著","児童書"
"シェフ","酒井　一之／著","児童書"
"ツーリング・エクスプレス","河惣 益巳/著","児童書"
"猫夜叉","愛田 真夕美/著","本"
"直言","加藤　英夫／著","本"
"Ｒｅｎｏｉｒ","Ｌｅｓｌｅｙ　Ｓｔｅｖｅｎｓｏｎ／著,Ａｕｇｕｓｔｅ　Ｒｅｎｏｉｒ／画","本"
"金日成","キム・イルソン [述]","本"
"キキ","はるか よろひがた／著","本"
"常陸国風土記","関 南沖／書写","本"
"マカロニほうれん荘","鴨川 つばめ/著","本"
"輸入車ガイドブック","日本自動車輸入組合 監修","本"
"ピカソ","ピカソ [画],レイチェル・バーンズ 編,速水豊 訳","本"
"Ｔｏｌｋｉｅｎ","Ｄａｖｉｄ Ｄａｙ 著","児童書"
"アラビアン・ナイト","池田修 訳","児童書"
"平和の礎","荒川村社会福祉協議会「平和の礎」編集委員会／編","本"
"死と彼女とぼく","川口　まどか／著","児童書"
"カブトムシ","海野和男 文・写真","児童書"
"生きる","博愛教育研究所／編集","本"
"星座物語","速水彩 [著]","児童書"
"形成","川崎教育文化研究所 編","本"
"ＳＤ","長谷川　愛子 編集","本"
"加藤清正","矢野四年生 著","児童書"
"昆虫","（株）リリーフ・システムズ／翻訳","児童書"
"獄門島","Jet/著,横溝 正史/原作","児童書"
"牡丹灯籠","波津 彬子/著","本"
